Venue,City,State,Capacity,pitch_characteristics,pitch_type_summary,Home_Team,is_neutral_venue,avg_first_innings_score,pitch_category
"M. A. Chidambaram Stadium, Chennai",Chennai,Tamil Nadu,50000,"Slow & low, spin-friendly, helps wrist-spin. Dew factor heavy at night. Low-scoring early in tournament (Mar). Avg 1st inns ~165",Generally bowler-friendly in first half of innings,CSK,0,165,Mixed
"Wankhede Stadium, Mumbai",Mumbai,Maharashtra,33108,"Flat, good pace and bounce. Fast outfield = high scoring. Batting paradise later in season when pitch eases out. Avg 1st inns ~175","Pacers get help early, but pitch flattens out quickly",MI,0,175,Pace-friendly
"Eden Gardens, Kolkata",Kolkata,West Bengal,68000,Good for batting with some early movement. Spinners effective in 2nd half. Evening dew can make chasing easy. Avg 1st inns ~170,Home crowd factor significant; dew helps chasing team,KKR,0,170,Mixed
"Arun Jaitley Stadium, Delhi",Delhi,Delhi,35200,"Dry, dusty surface. Turn available throughout. Slow outfield. Batters who adapt to slower pace do well. Avg 1st inns ~168",Spinners very effective; first-innings advantage,DC,0,168,Mixed
"M. Chinnaswamy Stadium, Bengaluru",Bengaluru,Karnataka,40000,Small ground with short straight boundaries. Flat pitch = batting bonanza. Highest scoring venue in IPL. Avg 1st inns ~182,Batters' paradise; spinners less effective; very high scores common,RCB,0,182,Batting-friendly
"Rajiv Gandhi Int. Cricket Stadium, Hyderabad",Hyderabad,Telangana,55000,"Two-paced pitch. Good for batting with pace early, dew at night. 200+ par score common. Spinners effective in powerplay. Avg 1st inns ~177",Chasing team benefited by dew in evening matches,SRH,0,177,Mixed
"Sawai Mansingh Stadium, Jaipur",Jaipur,Rajasthan,30000,Slow & turning track. Spinners dominant. Night dew changes match drastically. Scores can be deceptive. Avg 1st inns ~167,Spinners get huge help; dew factor massive for second innings,RR,0,167,Mixed
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,Gujarat,132000,Large outfield helps bowlers. Good bounce. Early movement for pacers. Later-season pitches better for batting. Avg 1st inns ~174,World's largest stadium; outfield slows boundaries,GT,0,174,Mixed
"BRSABV Ekana Cricket Stadium, Lucknow",Lucknow,Uttar Pradesh,50000,Seam movement early mornings/evenings. Flat through middle. Good batting conditions. Avg 1st inns ~173,Balanced track; pacers useful early,LSG,0,173,Balanced
"Punjab Cricket Association IS Bindra Stadium, Mohali",Mohali,Punjab,27000,Short square boundaries. High scoring. Pace-friendly. Good batting track. Avg 1st inns ~179,Very batting-friendly; short square boundaries key,PBKS,0,179,Batting-friendly
"HPCA Cricket Stadium, Dharamshala",Dharamshala,Himachal Pradesh,21200,Cool mountainous conditions. Significant seam movement. Helps fast bowlers considerably. Avg 1st inns ~162,Unique conditions for IPL; pacers dominant; altitude factor,PBKS,0,162,Pace-friendly
"DY Patil Stadium, Navi Mumbai",Navi Mumbai,Maharashtra,55000,Good batting track. Flat pitch. Large ground. Used as neutral venue in 2022. Avg 1st inns ~168,Batters prosper; large outfield slightly helps bowlers,N,0,168,Batting-friendly
"Brabourne Stadium, Mumbai",Mumbai,Maharashtra,20000,Good bounce and pace. Batting-friendly. Used as neutral in 2022. Avg 1st inns ~172,Fast outfield; good batting conditions,N,0,172,Batting-friendly
"MCA International Stadium, Pune",Pune,Maharashtra,45000,Good pace and bounce. Balanced track. Decent swing for pacers early. Used as neutral in 2022. Avg 1st inns ~169,Balanced; slightly pace-friendly early,N,0,169,Balanced
"ACA Cricket Stadium, Guwahati",Guwahati,Assam,46000,Humid conditions. Spin-friendly surface. Slow outfield. Scores tend to be lower. Used occasionally for RR/neutral. Avg 1st inns ~161,Humid + spin-heavy; unique conditions,RR,0,161,Mixed
"ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,Andhra Pradesh,27500,Flat batting track. Good pace and bounce. Coastal humidity. Avg 1st inns ~174,Batting-friendly; coastal conditions,DC,0,174,Batting-friendly
"Maharaja Yadavindra Singh Int. Cricket Stadium, Mullanpur",Mullanpur,Punjab,38000,Relatively new venue. Bouncy track. Good for batting and pace. Avg 1st inns ~181,New Punjab venue; good surface; high scoring so far,PBKS,0,181,Mixed
